observed_at_utc,source,underlying,symbol,option_type,expiry_utc,strike,maturity_days,maturity_years,underlying_price,market_price,bid_price,ask_price,last_price,mark_iv,mark_iv_binance,bid_iv,ask_iv,risk_free_rate,historical_volatility,historical_volatility_days,moneyness,close_to_close,german_klass,rogers_satchell
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-61500-P,put,2026-06-07T08:00:00+00:00,61500.0,0.5569785185185185,0.0015259685438863,60577.10652174,1033.479,1000.0,1125.0,925.0,0.442,0.442,0.38752556,0.57131767,0.0006,0.42948871515171144,365,0.9849936019795122,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-62000-P,put,2026-06-07T08:00:00+00:00,62000.0,0.5569785185185185,0.0015259685438863,60577.10652174,1474.661,1425.0,1735.0,1230.0,0.462,0.462,0.25688171,0.8779335,0.0006,0.42948871515171144,365,0.9770501051893548,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-62500-P,put,2026-06-07T08:00:00+00:00,62500.0,0.5569785185185185,0.0015259685438863,60577.10652174,1950.509,1770.0,2085.0,1695.0,0.499,0.499,6e-07,0.80334663,0.0006,0.42948871515171144,365,0.96923370434784,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-63000-P,put,2026-06-07T08:00:00+00:00,63000.0,0.5569785185185185,0.0015259685438863,60577.10652174,2438.168,2225.0,2545.0,2660.0,0.536,0.536,6e-07,0.85532188,0.0006,0.42948871515171144,365,0.9615413733609524,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-63500-P,put,2026-06-07T08:00:00+00:00,63500.0,0.5569785185185185,0.0015259685438863,60577.10652174,2933.596,2685.0,3135.0,2755.0,0.59,0.59,6e-07,1.15163803,0.0006,0.42948871515171144,365,0.9539701814447245,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-64000-P,put,2026-06-07T08:00:00+00:00,64000.0,0.5569785185185185,0.0015259685438863,60577.10652174,3430.914,3120.0,3770.0,3115.0,0.645,0.645,6e-07,1.50909424,0.0006,0.42948871515171144,365,0.9465172894021876,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-64500-P,put,2026-06-07T08:00:00+00:00,64500.0,0.5569785185185185,0.0015259685438863,60577.10652174,3927.774,3580.0,4310.0,3630.0,0.678,0.678,6e-07,1.70577049,0.0006,0.42948871515171144,365,0.9391799460734884,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-65000-P,put,2026-06-07T08:00:00+00:00,65000.0,0.5569785185185185,0.0015259685438863,60577.10652174,4425.752,4035.0,4880.0,4430.0,0.706,0.706,6e-07,1.94847107,0.0006,0.42948871515171144,365,0.931955484949846,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-65500-P,put,2026-06-07T08:00:00+00:00,65500.0,0.5569785185185185,0.0015259685438863,60577.10652174,4924.822,4485.0,5440.0,3600.0,0.743,0.743,6e-07,2.17344284,0.0006,0.42948871515171144,365,0.9248413209425954,0.42948871515171144,0.4597891785772359,0.46394739697642895
2026-06-06T18:37:57.056000+00:00,Binance public market-data API,BTCUSDT,BTC-260607-66000-P,put,2026-06-07T08:00:00+00:00,66000.0,0.5569785185185185,0.0015259685438863,60577.10652174,5424.269,4945.0,5985.0,2995.0,0.782,0.782,6e-07,2.37342834,0.0006,0.42948871515171144,365,0.917834947299091,0.42948871515171144,0.4597891785772359,0.46394739697642895
